"","nom","Moudenc_R2","Piquemal_R2","NonVotants_R2"
"087","École élémentaire Maurice Jacquier",132,165,509
"068","Maison des Associations",267,355,301
"091","École élémentaire Buffon",174,203,476
"116","Gymnase Puig",301,465,277
"017","École élémentaire Bayard",416,407,286
"025","Espace Bonnefoy-Périole",272,368,327
"083","École élémentaire Le Pastel",426,229,209
"112B","École élémentaire Paul Bert",479,235,403
"001","Capitole – Salle des Commissions",385,293,370
"120","Gymnase Puig",349,394,410
"189A","École élémentaire Ernest Renan",181,232,447
"074","Gymnase Jean Moulin",173,269,592
"083A","École élémentaire Le Pastel",371,273,442
"250","Groupe Scolaire Anatole France",485,253,314
"221","École élémentaire Soupetard",388,271,498
"012","École élémentaire du Nord",395,380,288
"023","École élémentaire Bonnefoy",343,328,366
"147","Gymnase Petit Capitole",711,165,390
"030","École élémentaire Pierre et Marie Curie",267,326,332
"107","École élémentaire Paul Bert",358,230,523
"122","Gymnase Puig",360,402,418
"187","École maternelle Jean Dieuzaide",146,85,462
"239A","École élémentaire Henri Guillaumet",376,269,417
"097","Centre Socio-Culturel Alban Minville",126,251,748
"062","École élémentaire Fabre",519,186,224
"253","Groupe Scolaire Anatole France",529,224,278
"002","Capitole – Salle des Commissions",345,279,264
"238","École élémentaire Château de l'Hers",404,232,380
"175","Groupe Scolaire Château d'Ancely",317,197,440
"044","Groupe Scolaire Bonhoure",394,416,349
"235","École élémentaire Château de l'Hers",545,184,253
"229","École élémentaire Jean Macé",616,135,243
"008","École élémentaire du Nord",299,457,386
"212","École élémentaire La Juncasse",430,273,515
"242","École élémentaire Henri Guillaumet",420,152,278
"224","École élémentaire Armand Leygue",696,166,239
"027","École élémentaire Pierre et Marie Curie",395,475,336
"242A","École élémentaire Henri Guillaumet",228,256,440
"196A","École élémentaire Cuvier",279,212,299
"218","École élémentaire Soupetard",291,218,345
"088","École élémentaire Maurice Jacquier",268,170,274
"110","École élémentaire Paul Bert",248,220,581
"149","Gymnase Montané",338,454,326
"238A","École élémentaire Château de l'Hers",258,168,324
"136","Gymnase Petit Capitole",341,265,364
"171","École élémentaire des Sept Deniers",421,293,371
"168","Salle Barcelone",341,355,320
"182A","École élémentaire Jules Ferry",387,323,421
"007","Salle Barcelone",373,231,283
"198A","École élémentaire Cuvier",317,171,274
"154","École élémentaire des Amidonniers",468,382,384
"096","École élémentaire Sylvain Dauriac",260,277,298
"160","Maison Toulouse Services Nord Minimes",367,343,343
"112A","École élémentaire Paul Bert",409,153,259
"130A","Gymnase Montané",302,381,376
"181","École élémentaire Jules Ferry",326,349,335
"067","Maison des Associations",355,591,497
"161","École élémentaire Alfred de Musset",253,260,230
"038","Salle Osète",321,329,366
"176","Groupe Scolaire Château d'Ancely",274,234,404
"045","Groupe Scolaire Bonhoure",320,211,189
"102","École maternelle Didier Daurat",33,181,693
"167","Salle Barcelone",352,253,433
"115","Gymnase Puig",283,407,396
"084","Salle Lafage",362,435,320
