"","nom","Briancon_PS","Scalli","Adrada","Menendez","Moudenc_DVD","Leonardelli_RN","Cottrel","Meilhac","Piquemal_LFI","Pedinotti","NonVotants_R1"
"200","École élémentaire La Maourine",115,1,1,1,149,28,1,4,134,4,519
"222","École élémentaire Armand Leygue",60,0,1,0,104,13,3,9,56,1,166
"148","Gymnase Petit Capitole",69,0,3,0,160,40,8,6,61,3,374
"059","École élémentaire Fabre",179,3,1,0,296,16,8,10,203,6,392
"010","École élémentaire du Nord",198,2,3,0,260,24,6,9,189,12,396
"196","École élémentaire Cuvier",135,6,4,4,210,37,9,8,167,9,534
"016","École élémentaire Bayard",176,0,7,3,338,29,8,8,200,6,385
"119","Gymnase Puig",186,1,4,1,247,22,7,17,281,12,462
"018","Salle Osète",126,0,2,0,146,30,9,8,122,4,328
"130","Gymnase Montané",166,2,3,0,200,12,3,23,222,6,460
"108","École élémentaire Paul Bert",125,1,1,3,211,67,7,10,111,4,483
"159","Maison Toulouse Services Nord Minimes",283,4,3,2,274,31,6,14,172,13,378
"140","Gymnase Petit Capitole",120,1,0,0,258,33,9,11,69,3,334
"103","École maternelle Didier Daurat",39,2,2,1,78,16,7,2,145,4,595
"193","École élémentaire Cuvier",95,1,5,1,155,49,7,10,122,3,538
"070","Maison des Associations",42,1,4,4,57,18,2,1,159,9,586
"109","École élémentaire Paul Bert",182,6,1,0,277,55,12,10,99,2,454
"211","École élémentaire Michoun",150,2,7,1,227,30,7,6,139,5,457
"013","École élémentaire Bayard",163,3,0,0,237,19,8,6,242,8,464
"069","Maison des Associations",190,2,0,4,187,20,5,15,168,8,333
"095","École élémentaire Sylvain Dauriac",39,1,1,2,89,19,2,2,129,2,587
"220","École élémentaire Soupetard",82,0,1,2,141,26,8,5,99,2,458
"202","École maternelle Reille",199,3,4,1,168,14,5,13,294,10,406
"209","École élémentaire Michoun",119,2,2,0,256,83,5,11,108,3,500
"146","Groupe Scolaire Littre",77,1,3,0,196,41,10,14,90,4,666
"124","Gymnase Montané",137,1,3,1,149,29,6,12,331,8,592
"180","École élémentaire Jules Ferry",160,2,5,0,232,46,6,10,165,3,420
"047","Groupe Scolaire Bonhoure",202,0,3,0,298,24,5,15,177,3,320
"215","École élémentaire La Juncasse",158,3,3,4,251,38,4,10,162,8,554
"113","Gymnase Puig",182,2,3,1,194,21,3,9,217,6,344
"225","École élémentaire Armand Leygue",146,1,0,2,346,43,8,12,107,5,363
"216","École élémentaire La Juncasse",140,0,0,0,177,29,4,15,217,13,417
"157","Maison Toulouse Services Nord Minimes",221,1,1,1,266,26,5,16,201,6,400
"240","École élémentaire Henri Guillaumet",72,2,2,0,213,33,6,10,83,2,413
"121","Gymnase Puig",236,1,4,0,198,22,0,20,237,6,348
"234","École élémentaire Jean Chaubet",169,1,3,0,275,27,8,16,116,6,343
"104","École maternelle des Vergers",44,0,2,1,78,14,2,2,90,3,314
"031","Salle Osète",85,0,0,1,252,17,9,4,113,3,280
"139","Gymnase Petit Capitole",92,1,2,1,297,37,12,7,101,4,420
"037","Salle Osète",102,1,1,0,217,16,5,15,141,3,350
"050","École élémentaire Jean Jaurès",198,0,1,3,338,20,15,19,142,6,329
"036","Salle Osète",149,1,0,0,244,17,3,12,174,9,379
"151","Gymnase Montané",210,1,5,2,207,25,7,29,227,12,471
"143","Gymnase Puig",208,1,2,0,179,11,12,7,296,7,370
"051","École élémentaire Jean Jaurès",144,1,1,2,429,38,19,8,98,2,302
"241","École élémentaire Henri Guillaumet",105,2,0,0,231,36,11,10,92,2,489
"233","École élémentaire Jean Chaubet",155,2,2,1,399,19,6,15,91,7,338
"079","Gymnase Jean Moulin",221,3,4,2,229,31,7,16,178,7,481
"191","École élémentaire Ernest Renan",123,0,1,0,156,45,9,6,217,8,597
"035","Salle Osète",152,1,1,0,181,10,13,15,198,4,329
"213","École élémentaire La Juncasse",171,0,3,0,287,43,5,19,184,6,365
"153","Gymnase Montané",165,2,1,0,232,26,3,22,247,8,440
"182","École élémentaire Jules Ferry",114,4,1,0,149,31,6,8,191,3,580
"256","Groupe Scolaire Anatole France",165,3,6,0,263,19,12,13,210,6,445
"190","École élémentaire Ernest Renan",82,2,1,1,102,22,6,3,162,3,523
"166","École maternelle des Ponts Jumeaux",176,3,6,2,283,33,6,14,191,8,524
"214A","École élémentaire La Juncasse",103,2,6,0,127,24,7,5,134,4,311
"033","Salle Osète",97,1,1,1,278,18,14,3,77,7,382
